Previous designations	Designation	Isolated by	Plant ID	abbreviation 	unique ID#	Oplant_ID	colony color	colony size	crystals	amplifies with CTS	amplifies with GyrB			
	LSC 1	JS	Lactuca sp.	lacsp_	0063	lacsp_63				1	0			
	LSC 10	JS	Lactuca sp.	lacsp_	0064	lacsp_64				0	0			
	LSC 11	JS	Lactuca sp.	lacsp_	0065	lacsp_65				0	0			
	LSC 12	JS	Lactuca sp.	lacsp_	0066	lacsp_66				0	0			
	LSC 2	JS	Lactuca sp.	lacsp_	0067	lacsp_67				0	0			
	LSC 3	JS	Lactuca sp.	lacsp_	0068	lacsp_68				1	0			
	LSC 5	JS	Lactuca sp.	lacsp_	0069	lacsp_69				1	0			
	LSC 6	JS	Lactuca sp.	lacsp_	0070	lacsp_70				0	0			
	LSC 7	JS	Lactuca sp.	lacsp_	0071	lacsp_71				0	0			
	LSC 8	JS	Lactuca sp.	lacsp_	0072	lacsp_72				0	0			
	LSC 9	JS	Lactuca sp.	lacsp_	0073	lacsp_73				0	0			
	LSC4B	JS	Lactuca sp.	lacsp_	0074	lacsp_74				1	0			
	PPL 1-1	JS	Lactuca sp.	lacsp_	0075	lacsp_75	yellow	small		0	0			
	PPL 11-3	JS	Lactuca sp.	lacsp_	0076	lacsp_76	cream	tiny tiny		1	0			
	PPL 2-1	JS	Lactuca sp.	lacsp_	0077	lacsp_77	pale yellow	medium		0	0			
	PPL 23	JS	Lactuca sp.	lacsp_	0078	lacsp_78	cream	medium		0	0			
	PPL 24	JS	Lactuca sp.	lacsp_	0079	lacsp_79				0	0			
	PPL 30	JS	Lactuca sp.	lacsp_	0080	lacsp_80				0	0			
	PPL 3-1	JS	Lactuca sp.	lacsp_	0081	lacsp_81	pale yellow	medium		1	1			
	PPL 3-2	JS	Lactuca sp.	lacsp_	0082	lacsp_82				0	0			
	PPL 4-1	JS	Lactuca sp.	lacsp_	0083	lacsp_83	yellow	medium		1	1			
	PPL 4-2	JS	Lactuca sp.	lacsp_	0084	lacsp_84				0	0			
	PPL 5-1	JS	Lactuca sp.	lacsp_	0085	lacsp_85				0	0			
	PPL 5-2	JS	Lactuca sp.	lacsp_	0086	lacsp_86	peach	tiny tiny		0	0			
	PPL 6-1	JS	Lactuca sp.	lacsp_	0087	lacsp_87	cream	tiny		1	1			
	PPL 6-2	JS	Lactuca sp.	lacsp_	0088	lacsp_88	yellow	medium		1	1			
	PPL 6-3	JS	Lactuca sp.	lacsp_	0089	lacsp_89	peach	tiny tiny		0	0			
	PPL 7	JS	Lactuca sp.	lacsp_	0090	lacsp_90	pale yellow	large		0	0			
	PPL 8	JS	Lactuca sp.	lacsp_	0091	lacsp_91	pale yellow	medium		1	0			
	PPL 9	JS	Lactuca sp.	lacsp_	0092	lacsp_92				0	0			
	PSLSC4	JS	Lactuca sp.	lacsp_	0093	lacsp_93				1	0			
														
														
														
														
														
														
														
														
														
														
														
														
														
														
